,ROC,Measure,Classifier,GAN
83,0.9127882354113519,Lee Gan conditional 4,Baseline,Lee Gan conditional
84,0.8892672791772959,Lee Gan conditional 4,Baseline,Lee Gan conditional
85,0.9537077923210298,Lee Gan conditional 4,Baseline,Lee Gan conditional
86,0.9187263955875318,Lee Gan conditional 4,Baseline,Lee Gan conditional
87,0.9107583493602519,Lee Gan conditional 4,Baseline,Lee Gan conditional
88,0.944189266282685,Lee Gan conditional 4,Baseline,Lee Gan conditional
89,0.8816836610132335,Lee Gan conditional 4,Baseline,Lee Gan conditional
90,0.8904842454559949,Lee Gan conditional 4,Baseline,Lee Gan conditional
91,0.9115391945352359,Lee Gan conditional 4,Baseline,Lee Gan conditional
92,0.9519643978196748,Lee Gan conditional 4,Baseline,Lee Gan conditional
93,0.8584776897819674,Lee Gan conditional 4,Baseline,Lee Gan conditional
94,0.9248471941266739,Lee Gan conditional 4,Baseline,Lee Gan conditional
95,0.933309438277264,Lee Gan conditional 4,Baseline,Lee Gan conditional
96,0.924876933195153,Lee Gan conditional 4,Baseline,Lee Gan conditional
97,0.8565661371970664,Lee Gan conditional 4,Baseline,Lee Gan conditional
98,0.9151285911092952,Lee Gan conditional 4,Baseline,Lee Gan conditional
99,0.8628913723692602,Lee Gan conditional 4,Baseline,Lee Gan conditional
100,0.8095513168646364,Lee Gan conditional 5,Baseline,Lee Gan conditional
101,0.8677934919084821,Lee Gan conditional 5,Baseline,Lee Gan conditional
102,0.7787617274693082,Lee Gan conditional 5,Baseline,Lee Gan conditional
103,0.8457755263970823,Lee Gan conditional 5,Baseline,Lee Gan conditional
104,0.8539413140744581,Lee Gan conditional 5,Baseline,Lee Gan conditional
105,0.8513831313775511,Lee Gan conditional 5,Baseline,Lee Gan conditional
106,0.9087924568020568,Lee Gan conditional 5,Baseline,Lee Gan conditional
107,0.8431860476124045,Lee Gan conditional 5,Baseline,Lee Gan conditional
108,0.8695387548329878,Lee Gan conditional 5,Baseline,Lee Gan conditional
109,0.8505389155173788,Lee Gan conditional 5,Baseline,Lee Gan conditional
110,0.8538861955915178,Lee Gan conditional 5,Baseline,Lee Gan conditional
111,0.8702794289102359,Lee Gan conditional 5,Baseline,Lee Gan conditional
112,0.8522257902184311,Lee Gan conditional 5,Baseline,Lee Gan conditional
113,0.8594914650430484,Lee Gan conditional 5,Baseline,Lee Gan conditional
114,0.7929038222955197,Lee Gan conditional 5,Baseline,Lee Gan conditional
115,0.9105445706114477,Lee Gan conditional 5,Baseline,Lee Gan conditional
116,0.8569071244220344,Lee Gan conditional 5,Baseline,Lee Gan conditional
117,0.7928737718231823,Lee Gan conditional 5,Baseline,Lee Gan conditional
118,0.8393037757095025,Lee Gan conditional 5,Baseline,Lee Gan conditional
119,0.8299664867167571,Lee Gan conditional 5,Baseline,Lee Gan conditional
120,0.836489774742905,Lee Gan conditional 6,Baseline,Lee Gan conditional
121,0.8443846410634566,Lee Gan conditional 6,Baseline,Lee Gan conditional
122,0.8029383445272641,Lee Gan conditional 6,Baseline,Lee Gan conditional
123,0.9435979103555486,Lee Gan conditional 6,Baseline,Lee Gan conditional
124,0.8417579495176978,Lee Gan conditional 6,Baseline,Lee Gan conditional
125,0.8879062886140784,Lee Gan conditional 6,Baseline,Lee Gan conditional
126,0.7993909874740912,Lee Gan conditional 6,Baseline,Lee Gan conditional
127,0.839002648178412,Lee Gan conditional 6,Baseline,Lee Gan conditional
128,0.8758820514289699,Lee Gan conditional 6,Baseline,Lee Gan conditional
129,0.9073698082748725,Lee Gan conditional 6,Baseline,Lee Gan conditional
130,0.8717888034119898,Lee Gan conditional 6,Baseline,Lee Gan conditional
131,0.8168593426139987,Lee Gan conditional 6,Baseline,Lee Gan conditional
132,0.9360871606943559,Lee Gan conditional 6,Baseline,Lee Gan conditional
133,0.8391986769072863,Lee Gan conditional 6,Baseline,Lee Gan conditional
134,0.7635574340820311,Lee Gan conditional 6,Baseline,Lee Gan conditional
135,0.8688170763911033,Lee Gan conditional 6,Baseline,Lee Gan conditional
136,0.8761469004105549,Lee Gan conditional 6,Baseline,Lee Gan conditional
137,0.8538787218989157,Lee Gan conditional 6,Baseline,Lee Gan conditional
138,0.8924336336096939,Lee Gan conditional 6,Baseline,Lee Gan conditional
139,0.8258427211216519,Lee Gan conditional 6,Baseline,Lee Gan conditional
140,0.7948938486527424,Lee Gan conditional 7,Baseline,Lee Gan conditional
141,0.7158640647421078,Lee Gan conditional 7,Baseline,Lee Gan conditional
142,0.7555884536431761,Lee Gan conditional 7,Baseline,Lee Gan conditional
143,0.8250112728196747,Lee Gan conditional 7,Baseline,Lee Gan conditional
144,0.7312779329261001,Lee Gan conditional 7,Baseline,Lee Gan conditional
145,0.8001455190230389,Lee Gan conditional 7,Baseline,Lee Gan conditional
