,ROC,Measure,Classifier,GAN
108,0.9806163554288903,5,MC Dropout,Sricharan Gan conditional
109,0.9834180559430803,5,MC Dropout,Sricharan Gan conditional
110,0.993009917590083,5,MC Dropout,Sricharan Gan conditional
111,0.986400370695153,5,MC Dropout,Sricharan Gan conditional
112,0.9767646011041136,5,MC Dropout,Sricharan Gan conditional
113,0.9718394376793688,5,MC Dropout,Sricharan Gan conditional
114,0.9710039411272321,5,MC Dropout,Sricharan Gan conditional
115,0.9824147127112564,5,MC Dropout,Sricharan Gan conditional
116,0.9913641481983417,5,MC Dropout,Sricharan Gan conditional
117,0.97998638542331,5,MC Dropout,Sricharan Gan conditional
118,0.985870361328125,5,MC Dropout,Sricharan Gan conditional
119,0.9847007284359057,5,MC Dropout,Sricharan Gan conditional
140,0.1679265547771843,7,Baseline,Sricharan WGan conditional
141,0.03861267712651467,7,Baseline,Sricharan WGan conditional
142,0.16613349136041133,7,Baseline,Sricharan WGan conditional
143,0.06975944674744897,7,Baseline,Sricharan WGan conditional
144,0.06332288469587055,7,Baseline,Sricharan WGan conditional
145,0.12578754035794004,7,Baseline,Sricharan WGan conditional
146,0.2493335957429847,7,Baseline,Sricharan WGan conditional
147,0.49057162537866705,7,Baseline,Sricharan WGan conditional
148,0.42545988121811223,7,Baseline,Sricharan WGan conditional
149,0.729677472795759,7,Baseline,Sricharan WGan conditional
150,0.09776088169642856,7,Baseline,Sricharan WGan conditional
151,0.07246321074816645,7,Baseline,Sricharan WGan conditional
152,0.0741068003128986,7,Baseline,Sricharan WGan conditional
153,0.09683694644850127,7,Baseline,Sricharan WGan conditional
154,0.4575553426937181,7,Baseline,Sricharan WGan conditional
155,0.09354447345344388,7,Baseline,Sricharan WGan conditional
156,0.5642071159518496,7,Baseline,Sricharan WGan conditional
157,0.5335238709741709,7,Baseline,Sricharan WGan conditional
158,0.12697445616430164,7,Baseline,Sricharan WGan conditional
159,0.037109375,7,Baseline,Sricharan WGan conditional
140,0.7111673160475127,7,MC Dropout,Sricharan WGan conditional
141,0.5824128754284916,7,MC Dropout,Sricharan WGan conditional
142,0.359432298309949,7,MC Dropout,Sricharan WGan conditional
143,0.6924938279755262,7,MC Dropout,Sricharan WGan conditional
144,0.6745933999820631,7,MC Dropout,Sricharan WGan conditional
145,0.8090667724609375,7,MC Dropout,Sricharan WGan conditional
146,0.7542693468989159,7,MC Dropout,Sricharan WGan conditional
147,0.7813937128806601,7,MC Dropout,Sricharan WGan conditional
148,0.9088315379862882,7,MC Dropout,Sricharan WGan conditional
149,0.6079152944136639,7,MC Dropout,Sricharan WGan conditional
150,0.713958740234375,7,MC Dropout,Sricharan WGan conditional
151,0.897940966547752,7,MC Dropout,Sricharan WGan conditional
152,0.7703178561463648,7,MC Dropout,Sricharan WGan conditional
153,0.8870153621751434,7,MC Dropout,Sricharan WGan conditional
154,0.8027418486926021,7,MC Dropout,Sricharan WGan conditional
155,0.7580177151426977,7,MC Dropout,Sricharan WGan conditional
156,0.6059047154017857,7,MC Dropout,Sricharan WGan conditional
157,0.9018557801538584,7,MC Dropout,Sricharan WGan conditional
158,0.827979885801977,7,MC Dropout,Sricharan WGan conditional
159,0.8873778362663425,7,MC Dropout,Sricharan WGan conditional
140,0.47931188466597574,7,Baseline,Sricharan WGan 002 conditional
141,0.5346112932477678,7,Baseline,Sricharan WGan 002 conditional
142,0.8452490981744261,7,Baseline,Sricharan WGan 002 conditional
143,0.18011412328603316,7,Baseline,Sricharan WGan 002 conditional
144,0.5284467424665179,7,Baseline,Sricharan WGan 002 conditional
145,0.48795521016023596,7,Baseline,Sricharan WGan 002 conditional
146,0.38254095583545916,7,Baseline,Sricharan WGan 002 conditional
147,0.6951284603196748,7,Baseline,Sricharan WGan 002 conditional
148,0.24936177779217156,7,Baseline,Sricharan WGan 002 conditional
149,0.3010079520089286,7,Baseline,Sricharan WGan 002 conditional
150,0.4217521511778539,7,Baseline,Sricharan WGan 002 conditional
151,0.8381098533163265,7,Baseline,Sricharan WGan 002 conditional
152,0.9747474826112086,7,Baseline,Sricharan WGan 002 conditional
153,0.8452533021265147,7,Baseline,Sricharan WGan 002 conditional
154,0.8638554787149234,7,Baseline,Sricharan WGan 002 conditional
